item_id,name,slug,category,item_type,rarity,tier,description,flavor_text,effect_key,effect_type,effect_value,effect_duration_seconds,cooldown_seconds,stackable,max_stack,tradable,soulbound,consumable,equippable,price_wb,unlock_type,unlock_value,shop_id,lifecycle_state,asset_filename,asset_path,visual_subject,visual_keywords,art_prompt,art_status,implementation_status,notes
trail_mix,Questionable Trail Mix,questionable-trail-mix,consumable,consumable,common,1,A pocket snack that converts instantly into WalkerBucks.,Suspiciously crunchy but dependable.,instant_wb,instant_wb,35,,,true,99,false,false,true,false,40,none,,main_shop,active,trail_mix.png,/assets/items/trail_mix.png,crinkled snack pouch,trail snack|orange pouch|crumbs,"Create a single game item icon in a polished retro pixel art style for Walk The World. Show \Questionable Trail Mix\, a common consumable item. Depict crinkled snack pouch. Include these visual cues: trail snack|orange pouch|crumbs. The object should be centered isolated and readable at small size with a bold clean outline controlled pixel-art shading and a cohesive inventory icon style. Use transparent background. No text no UI no characters no watermark.",prompt_ready,existing,Existing inventory item from src/game/inventory.ts
walkertown_postcard,Walkertown Postcard,walkertown-postcard,souvenir,collectible,common,1,A collectible proof that the first route still matters.,Mailed from mile marker one.,none,none,,,,true,999,false,false,false,false,25,none,,main_shop,active,walkertown_postcard.png,/assets/items/walkertown_postcard.png,vintage postcard,walkertown skyline|stamp|paper texture,"Create a single game item icon in a polished retro pixel art style for Walk The World. Show \Walkertown Postcard\, a common souvenir item. Depict vintage postcard. Include these visual cues: walkertown skyline|stamp|paper texture. The object should be centered isolated and readable at small size with a bold clean outline controlled pixel-art shading and a cohesive inventory icon style. Use transparent background. No text no UI no characters no watermark.",prompt_ready,existing,Existing inventory item from src/game/inventory.ts
spring_stride_ticket,Spring Stride Ticket,spring-stride-ticket,souvenir,collectible,common,1,A local only seasonal keepsake from the Spring Stride route.,Still smells like rain and pavement.,none,none,,,,true,999,false,false,false,false,30,event,spring_stride,seasonal_shop,active,spring_stride_ticket.png,/assets/items/spring_stride_ticket.png,event ticket,pastel ticket|spring motif|perforated edge,"Create a single game item icon in a polished retro pixel art style for Walk The World. Show \Spring Stride Ticket\, a common souvenir item. Depict event ticket. Include these visual cues: pastel ticket|spring motif|perforated edge. The object should be centered isolated and readable at small size with a bold clean outline controlled pixel-art shading and a cohesive inventory icon style. Use transparent background. No text no UI no characters no watermark.",prompt_ready,existing,Existing inventory item from src/game/inventory.ts
starter_step_counter,Starter Step Counter,starter-step-counter,equipment,equipment,uncommon,2,Entry level equipment that squeezes more WB out of each mile.,Cheap plastic and elite optimism.,wb_multiplier,wb_multiplier,0.03,,,false,1,false,false,false,true,180,distance_miles,25,main_shop,active,starter_step_counter.png,/assets/items/starter_step_counter.png,clip-on step counter,digital counter|strap|utility plastic,"Create a single game item icon in a polished retro pixel art style for Walk The World. Show \Starter Step Counter\, a uncommon equipment item. Depict clip-on step counter. Include these visual cues: digital counter|strap|utility plastic. The object should be centered isolated and readable at small size with a bold clean outline controlled pixel-art shading and a cohesive inventory icon style. Use transparent background. No text no UI no characters no watermark.",prompt_ready,existing,Existing inventory equipment item
retro_sweatband_item,Retro Sweatband,retro-sweatband,cosmetic,cosmetic,common,1,Cosmetic headwear with a small WB bonus.,Neon confidence for slow jogs.,wb_multiplier,wb_multiplier,0.05,,,false,1,false,false,false,true,220,none,,main_shop,active,retro_sweatband_item.png,/assets/items/retro_sweatband_item.png,retro sweatband,headband|neon stripes|soft fabric,"Create a single game item icon in a polished retro pixel art style for Walk The World. Show \Retro Sweatband\, a common cosmetic item. Depict retro sweatband. Include these visual cues: headband|neon stripes|soft fabric. The object should be centered isolated and readable at small size with a bold clean outline controlled pixel-art shading and a cohesive inventory icon style. Use transparent background. No text no UI no characters no watermark.",prompt_ready,existing,Existing inventory cosmetic item maps to cosmetic id retro_sweatband
lucky_laces_item,Lucky Laces,lucky-laces,cosmetic,cosmetic,uncommon,2,Cosmetic shoes that improve manual tap distance.,Double knot for double luck.,click_power_multiplier,click_power_multiplier,0.08,,,false,1,false,false,false,true,340,distance_miles,120,main_shop,active,lucky_laces_item.png,/assets/items/lucky_laces_item.png,pair of shoelaces,green laces|spark accents|shoe eyelets,"Create a single game item icon in a polished retro pixel art style for Walk The World. Show \Lucky Laces\, a uncommon cosmetic item. Depict pair of shoelaces. Include these visual cues: green laces|spark accents|shoe eyelets. The object should be centered isolated and readable at small size with a bold clean outline controlled pixel-art shading and a cohesive inventory icon style. Use transparent background. No text no UI no characters no watermark.",prompt_ready,existing,Existing inventory cosmetic item maps to cosmetic id lucky_laces
golden_wayfarers_item,Golden Wayfarers,golden-wayfarers,cosmetic,cosmetic,rare,3,Cosmetic eyewear that improves random event rewards.,Too shiny to lose.,event_reward_multiplier,event_reward_multiplier,0.1,,,false,1,false,false,false,true,650,earth_loops_completed,1,main_shop,active,golden_wayfarers_item.png,/assets/items/golden_wayfarers_item.png,gold sunglasses,aviator shape|gold frames|lens shine,"Create a single game item icon in a polished retro pixel art style for Walk The World. Show \Golden Wayfarers\, a rare cosmetic item. Depict gold sunglasses. Include these visual cues: aviator shape|gold frames|lens shine. The object should be centered isolated and readable at small size with a bold clean outline controlled pixel-art shading and a cohesive inventory icon style. Use transparent background. No text no UI no characters no watermark.",prompt_ready,existing,Existing inventory cosmetic item maps to cosmetic id golden_wayfarers
touch_grass_token,Touch Grass Token,touch-grass-token,consumable,consumable,common,1,Single use token that grants a small WalkerBucks boost.,For emergency outside moments.,currency_grant,currency_grant,50,,,true,20,false,false,true,false,60,none,,main_shop,planned,touch_grass_token.png,/assets/items/touch_grass_token.png,engraved coin,grass icon|bronze coin|simple rim,"Create a single game item icon in a polished retro pixel art style for Walk The World. Show \Touch Grass Token\, a common consumable item. Depict engraved coin. Include these visual cues: grass icon|bronze coin|simple rim. The object should be centered isolated and readable at small size with a bold clean outline controlled pixel-art shading and a cohesive inventory icon style. Use transparent background. No text no UI no characters no watermark.",prompt_ready,planned,Starter catalog item
walker_passport,Walker Passport,walker-passport,souvenir,collectible,uncommon,2,Travel booklet that tracks visited destinations.,Stamped in every timezone.,travel_theme_unlock,travel_theme_unlock,global_route_theme,,,false,1,false,true,false,false,400,distance_miles,500,main_shop,planned,walker_passport.png,/assets/items/walker_passport.png,passport booklet,navy cover|gold emblem|travel stamps,"Create a single game item icon in a polished retro pixel art style for Walk The World. Show \Walker Passport\, a uncommon souvenir item. Depict passport booklet. Include these visual cues: navy cover|gold emblem|travel stamps. The object should be centered isolated and readable at small size with a bold clean outline controlled pixel-art shading and a cohesive inventory icon style. Use transparent background. No text no UI no characters no watermark.",prompt_ready,planned,
white_monarch_upgrade,White Monarch Upgrade,white-monarch-upgrade,relic,equipment,epic,4,High tier relic upgrade that boosts step rewards temporarily.,Wings of momentum.,step_reward_bonus_temp,step_reward_bonus_temp,0.25,1800,7200,false,1,false,true,false,true,2400,earth_loops_completed,2,main_shop,planned,white_monarch_upgrade.png,/assets/items/white_monarch_upgrade.png,mechanical butterfly pin,white wings|silver gears|soft glow,"Create a single game item icon in a polished retro pixel art style for Walk The World. Show \White Monarch Upgrade\, a epic relic item. Depict mechanical butterfly pin. Include these visual cues: white wings|silver gears|soft glow. The object should be centered isolated and readable at small size with a bold clean outline controlled pixel-art shading and a cohesive inventory icon style. Use transparent background. No text no UI no characters no watermark.",prompt_ready,planned,
dallas_postcard,Dallas Postcard,dallas-postcard,souvenir,collectible,common,1,City postcard collectible from the Dallas background route.,Big skyline tiny card.,souvenir_collectible,souvenir_collectible,,,,true,999,false,false,false,false,35,destination,dallas,main_shop,planned,dallas_postcard.png,/assets/items/dallas_postcard.png,city postcard,dallas skyline|postmark|retro print,"Create a single game item icon in a polished retro pixel art style for Walk The World. Show \Dallas Postcard\, a common souvenir item. Depict city postcard. Include these visual cues: dallas skyline|postmark|retro print. The object should be centered isolated and readable at small size with a bold clean outline controlled pixel-art shading and a cohesive inventory icon style. Use transparent background. No text no UI no characters no watermark.",prompt_ready,planned,
skill_issue_stamp,Skill Issue Stamp,skill-issue-stamp,collectible,collectible,common,1,Collectible stamp used for profile flair unlocks.,Officially overruled.,title_unlock,title_unlock,skill_issue,,,true,999,false,false,false,false,120,achievement,event_claims_50,main_shop,planned,skill_issue_stamp.png,/assets/items/skill_issue_stamp.png,rubber stamp,red ink|badge shape|comic style,"Create a single game item icon in a polished retro pixel art style for Walk The World. Show \Skill Issue Stamp\, a common collectible item. Depict rubber stamp. Include these visual cues: red ink|badge shape|comic style. The object should be centered isolated and readable at small size with a bold clean outline controlled pixel-art shading and a cohesive inventory icon style. Use transparent background. No text no UI no characters no watermark.",prompt_ready,planned,
certified_ledger_receipt,Certified Ledger Receipt,certified-ledger-receipt,relic,collectible,rare,3,Archived receipt proving your WalkerBucks legend.,Signed by nobody important.,title_unlock,title_unlock,ledger_certified,,,false,1,false,true,false,false,900,earth_loops_completed,1,main_shop,planned,certified_ledger_receipt.png,/assets/items/certified_ledger_receipt.png,official receipt paper,folded paper|seal stamp|ledger lines,"Create a single game item icon in a polished retro pixel art style for Walk The World. Show \Certified Ledger Receipt\, a rare relic item. Depict official receipt paper. Include these visual cues: folded paper|seal stamp|ledger lines. The object should be centered isolated and readable at small size with a bold clean outline controlled pixel-art shading and a cohesive inventory icon style. Use transparent background. No text no UI no characters no watermark.",prompt_ready,planned,
big_dawg_license,Big Dawg License,big-dawg-license,relic,equipment,rare,3,License card that increases random drop luck for a while.,Authority granted.,drop_rate_boost_temp,drop_rate_boost_temp,0.15,1200,3600,false,1,false,true,false,true,1100,distance_miles,1200,main_shop,planned,big_dawg_license.png,/assets/items/big_dawg_license.png,license card,hologram stripe|paw emblem|laminated edge,"Create a single game item icon in a polished retro pixel art style for Walk The World. Show \Big Dawg License\, a rare relic item. Depict license card. Include these visual cues: hologram stripe|paw emblem|laminated edge. The object should be centered isolated and readable at small size with a bold clean outline controlled pixel-art shading and a cohesive inventory icon style. Use transparent background. No text no UI no characters no watermark.",prompt_ready,planned,
aura_battery,Aura Battery,aura-battery,boost,consumable,uncommon,2,Charged battery that temporarily boosts tap gains.,Buzzing with confidence.,tap_multiplier_temp,tap_multiplier_temp,0.2,900,1800,true,5,false,false,true,false,280,none,,main_shop,planned,aura_battery.png,/assets/items/aura_battery.png,energy battery,blue glow|charge bars|metal cap,"Create a single game item icon in a polished retro pixel art style for Walk The World. Show \Aura Battery\, a uncommon boost item. Depict energy battery. Include these visual cues: blue glow|charge bars|metal cap. The object should be centered isolated and readable at small size with a bold clean outline controlled pixel-art shading and a cohesive inventory icon style. Use transparent background. No text no UI no characters no watermark.",prompt_ready,planned,
streak_insurance_policy,Streak Insurance Policy,streak-insurance-policy,boost,consumable,rare,3,Protects one missed daily streak day.,Fine print not included.,daily_streak_freeze,daily_streak_freeze,1,,,true,3,false,true,true,false,750,daily_streak,7,main_shop,planned,streak_insurance_policy.png,/assets/items/streak_insurance_policy.png,insurance certificate,policy paper|shield icon|stamp mark,"Create a single game item icon in a polished retro pixel art style for Walk The World. Show \Streak Insurance Policy\, a rare boost item. Depict insurance certificate. Include these visual cues: policy paper|shield icon|stamp mark. The object should be centered isolated and readable at small size with a bold clean outline controlled pixel-art shading and a cohesive inventory icon style. Use transparent background. No text no UI no characters no watermark.",prompt_ready,planned,
gas_station_sunglasses,Gas Station Sunglasses,gas-station-sunglasses,cosmetic,cosmetic,common,1,Budget sunglasses cosmetic with personality only.,Five dollars and destiny.,cosmetic_equip,cosmetic_equip,,,,false,1,false,false,false,true,95,none,,main_shop,planned,gas_station_sunglasses.png,/assets/items/gas_station_sunglasses.png,cheap sunglasses,black shades|plastic frame|roadtrip vibe,"Create a single game item icon in a polished retro pixel art style for Walk The World. Show \Gas Station Sunglasses\, a common cosmetic item. Depict cheap sunglasses. Include these visual cues: black shades|plastic frame|roadtrip vibe. The object should be centered isolated and readable at small size with a bold clean outline controlled pixel-art shading and a cohesive inventory icon style. Use transparent background. No text no UI no characters no watermark.",prompt_ready,planned,
lucky_shoelaces,Lucky Shoelaces,lucky-shoelaces,boost,consumable,common,1,One use charm that nudges drop rates.,Tie once win twice.,drop_rate_boost_temp,drop_rate_boost_temp,0.05,600,1200,true,10,false,false,true,false,85,none,,main_shop,planned,lucky_shoelaces.png,/assets/items/lucky_shoelaces.png,coiled shoelaces,green lace|charm bead|sparkle,"Create a single game item icon in a polished retro pixel art style for Walk The World. Show \Lucky Shoelaces\, a common boost item. Depict coiled shoelaces. Include these visual cues: green lace|charm bead|sparkle. The object should be centered isolated and readable at small size with a bold clean outline controlled pixel-art shading and a cohesive inventory icon style. Use transparent background. No text no UI no characters no watermark.",prompt_ready,planned,
trail_socks,Trail Socks,trail-socks,equipment,equipment,common,1,Comfort socks that add a small per mile bonus.,Dry feet fast miles.,wb_multiplier,wb_multiplier,0.02,,,false,1,false,false,false,true,140,distance_miles,40,main_shop,planned,trail_socks.png,/assets/items/trail_socks.png,hiking socks,wool texture|stripe cuffs|rolled pair,"Create a single game item icon in a polished retro pixel art style for Walk The World. Show \Trail Socks\, a common equipment item. Depict hiking socks. Include these visual cues: wool texture|stripe cuffs|rolled pair. The object should be centered isolated and readable at small size with a bold clean outline controlled pixel-art shading and a cohesive inventory icon style. Use transparent background. No text no UI no characters no watermark.",prompt_ready,planned,
route_marker,Route Marker,route-marker,souvenir,collectible,uncommon,2,Collectible marker dropped on completed routes.,You were here and kept walking.,souvenir_collectible,souvenir_collectible,,,,true,99,false,false,false,false,180,distance_miles,300,main_shop,planned,route_marker.png,/assets/items/route_marker.png,road marker pin,map pin|mile number|metal badge,"Create a single game item icon in a polished retro pixel art style for Walk The World. Show \Route Marker\, a uncommon souvenir item. Depict road marker pin. Include these visual cues: map pin|mile number|metal badge. The object should be centered isolated and readable at small size with a bold clean outline controlled pixel-art shading and a cohesive inventory icon style. Use transparent background. No text no UI no characters no watermark.",prompt_ready,planned,
mile_badge,Mile Badge,mile-badge,souvenir,collectible,common,1,Commemorative badge awarded for distance milestones.,Proof of blisters.,souvenir_collectible,souvenir_collectible,,,,true,999,false,false,false,false,70,distance_miles,100,main_shop,planned,mile_badge.png,/assets/items/mile_badge.png,round badge,numbered badge|ribbon notch|brass tone,"Create a single game item icon in a polished retro pixel art style for Walk The World. Show \Mile Badge\, a common souvenir item. Depict round badge. Include these visual cues: numbered badge|ribbon notch|brass tone. The object should be centered isolated and readable at small size with a bold clean outline controlled pixel-art shading and a cohesive inventory icon style. Use transparent background. No text no UI no characters no watermark.",prompt_ready,planned,
detour_token,Detour Token,detour-token,boost,consumable,uncommon,2,Token that increases event rewards for a short detour.,Wrong turn right payout.,event_reward_multiplier,event_reward_multiplier,0.2,900,1800,true,5,false,false,true,false,260,none,,main_shop,planned,detour_token.png,/assets/items/detour_token.png,directional token,arrow symbol|enamel coin|blue accent,"Create a single game item icon in a polished retro pixel art style for Walk The World. Show \Detour Token\, a uncommon boost item. Depict directional token. Include these visual cues: arrow symbol|enamel coin|blue accent. The object should be centered isolated and readable at small size with a bold clean outline controlled pixel-art shading and a cohesive inventory icon style. Use transparent background. No text no UI no characters no watermark.",prompt_ready,planned,
souvenir_magnet,Souvenir Magnet,souvenir-magnet,souvenir,collectible,common,1,Fridge magnet collectible from route destinations.,Magnetized memories.,souvenir_collectible,souvenir_collectible,,,,true,999,false,false,false,false,45,destination,any_city,main_shop,planned,souvenir_magnet.png,/assets/items/souvenir_magnet.png,city fridge magnet,rounded rectangle|city icon|color trim,"Create a single game item icon in a polished retro pixel art style for Walk The World. Show \Souvenir Magnet\, a common souvenir item. Depict city fridge magnet. Include these visual cues: rounded rectangle|city icon|color trim. The object should be centered isolated and readable at small size with a bold clean outline controlled pixel-art shading and a cohesive inventory icon style. Use transparent background. No text no UI no characters no watermark.",prompt_ready,planned,
grand_canyon_pebble,Grand Canyon Pebble,grand-canyon-pebble,souvenir,collectible,uncommon,2,Collectible pebble from the canyon route milestone.,Definitely legally sourced.,souvenir_collectible,souvenir_collectible,,,,true,99,false,false,false,false,210,destination,grand_canyon,main_shop,planned,grand_canyon_pebble.png,/assets/items/grand_canyon_pebble.png,striped pebble,red rock layers|dust|small stone,"Create a single game item icon in a polished retro pixel art style for Walk The World. Show \Grand Canyon Pebble\, a uncommon souvenir item. Depict striped pebble. Include these visual cues: red rock layers|dust|small stone. The object should be centered isolated and readable at small size with a bold clean outline controlled pixel-art shading and a cohesive inventory icon style. Use transparent background. No text no UI no characters no watermark.",prompt_ready,planned,
nyc_metro_card,NYC Metro Card,nyc-metro-card,souvenir,collectible,uncommon,2,Transit collectible from the city route set.,Swipe and stride.,souvenir_collectible,souvenir_collectible,,,,true,99,false,false,false,false,190,destination,skyline,main_shop,planned,nyc_metro_card.png,/assets/items/nyc_metro_card.png,metro card,yellow transit card|stripe|worn edges,"Create a single game item icon in a polished retro pixel art style for Walk The World. Show \NYC Metro Card\, a uncommon souvenir item. Depict metro card. Include these visual cues: yellow transit card|stripe|worn edges. The object should be centered isolated and readable at small size with a bold clean outline controlled pixel-art shading and a cohesive inventory icon style. Use transparent background. No text no UI no characters no watermark.",prompt_ready,planned,
paris_keychain,Paris Keychain,paris-keychain,souvenir,collectible,uncommon,2,Travel keychain collectible from Paris scenes.,Tiny tower big flex.,souvenir_collectible,souvenir_collectible,,,,true,99,false,false,false,false,200,destination,paris,main_shop,planned,paris_keychain.png,/assets/items/paris_keychain.png,keychain charm,eiffel charm|metal ring|blue ribbon,"Create a single game item icon in a polished retro pixel art style for Walk The World. Show \Paris Keychain\, a uncommon souvenir item. Depict keychain charm. Include these visual cues: eiffel charm|metal ring|blue ribbon. The object should be centered isolated and readable at small size with a bold clean outline controlled pixel-art shading and a cohesive inventory icon style. Use transparent background. No text no UI no characters no watermark.",prompt_ready,planned,
tokyo_transit_pass,Tokyo Transit Pass,tokyo-transit-pass,souvenir,collectible,uncommon,2,Transit pass collectible tied to Tokyo route play.,Neon commute energy.,souvenir_collectible,souvenir_collectible,,,,true,99,false,false,false,false,205,destination,tokyo,main_shop,planned,tokyo_transit_pass.png,/assets/items/tokyo_transit_pass.png,transit pass card,neon lines|kanji marks|chip corner,"Create a single game item icon in a polished retro pixel art style for Walk The World. Show \Tokyo Transit Pass\, a uncommon souvenir item. Depict transit pass card. Include these visual cues: neon lines|kanji marks|chip corner. The object should be centered isolated and readable at small size with a bold clean outline controlled pixel-art shading and a cohesive inventory icon style. Use transparent background. No text no UI no characters no watermark.",prompt_ready,planned,
the_mog_saber,The Mog Saber,the-mog-saber,relic,equipment,legendary,5,Mythic relic that boosts tap multiplier for boss events.,Mog responsibly.,tap_multiplier_temp,tap_multiplier_temp,0.35,1200,3600,false,1,false,true,false,true,3200,earth_loops_completed,3,main_shop,planned,the_mog_saber.png,/assets/items/the_mog_saber.png,energy saber,purple blade|ornate hilt|aura trail,"Create a single game item icon in a polished retro pixel art style for Walk The World. Show \The Mog Saber\, a legendary relic item. Depict energy saber. Include these visual cues: purple blade|ornate hilt|aura trail. The object should be centered isolated and readable at small size with a bold clean outline controlled pixel-art shading and a cohesive inventory icon style. Use transparent background. No text no UI no characters no watermark.",prompt_ready,planned,
anti_mog_shield,Anti Mog Shield,anti-mog-shield,relic,equipment,epic,4,Defensive relic that preserves streaks and reduces losses.,Counter mog technology.,daily_streak_freeze,daily_streak_freeze,1,,,false,1,false,true,false,true,2800,earth_loops_completed,3,main_shop,planned,anti_mog_shield.png,/assets/items/anti_mog_shield.png,energy shield,hex pattern|blue glow|crest emblem,"Create a single game item icon in a polished retro pixel art style for Walk The World. Show \Anti Mog Shield\, a epic relic item. Depict energy shield. Include these visual cues: hex pattern|blue glow|crest emblem. The object should be centered isolated and readable at small size with a bold clean outline controlled pixel-art shading and a cohesive inventory icon style. Use transparent background. No text no UI no characters no watermark.",prompt_ready,planned,
industrial_farmer_overalls,Industrial Farmer Overalls,industrial-farmer-overalls,cosmetic,cosmetic,rare,3,Cosmetic outfit that adds steady WalkerBucks bonus.,Rugged drip for long routes.,wb_multiplier,wb_multiplier,0.12,,,false,1,false,true,false,true,980,distance_miles,900,main_shop,planned,industrial_farmer_overalls.png,/assets/items/industrial_farmer_overalls.png,denim overalls,workwear straps|patches|earth tones,"Create a single game item icon in a polished retro pixel art style for Walk The World. Show \Industrial Farmer Overalls\, a rare cosmetic item. Depict denim overalls. Include these visual cues: workwear straps|patches|earth tones. The object should be centered isolated and readable at small size with a bold clean outline controlled pixel-art shading and a cohesive inventory icon style. Use transparent background. No text no UI no characters no watermark.",prompt_ready,planned,
server_pension_bond,Server Pension Bond,server-pension-bond,relic,collectible,legendary,5,Long horizon collectible tied to account era milestones.,Backed by vibes only.,title_unlock,title_unlock,server_veteran,,,false,1,false,true,false,false,5000,account_age_days,365,main_shop,planned,server_pension_bond.png,/assets/items/server_pension_bond.png,bond certificate,gold border|embossed seal|aged paper,"Create a single game item icon in a polished retro pixel art style for Walk The World. Show \Server Pension Bond\, a legendary relic item. Depict bond certificate. Include these visual cues: gold border|embossed seal|aged paper. The object should be centered isolated and readable at small size with a bold clean outline controlled pixel-art shading and a cohesive inventory icon style. Use transparent background. No text no UI no characters no watermark.",prompt_ready,planned,
